Date,Open,High,Low,Close,Adj Close,Volume
2022-09-19,135.99000549316406,142.14999389648438,135.75,141.27999877929688,141.27999877929688,1753600
2022-09-20,140.63999938964844,140.89999389648438,137.52999877929688,138.57000732421875,138.57000732421875,1272700
2022-09-21,139.1300048828125,142.13999938964844,136.4199981689453,136.52999877929688,136.52999877929688,699700
2022-09-22,137.5,137.91000366210938,135.3699951171875,135.7100067138672,135.7100067138672,761000
2022-09-23,133.69000244140625,133.69000244140625,126.63999938964844,128.75999450683594,128.75999450683594,1647300
2022-09-26,128.0800018310547,131.0399932861328,125.43000030517578,125.73999786376953,125.73999786376953,1282500
2022-09-27,127.66000366210938,128.8300018310547,124.12999725341797,125.55000305175781,125.55000305175781,1034900
2022-09-28,126.80000305175781,131.07000732421875,126.62000274658203,130.1999969482422,130.1999969482422,962900
2022-09-29,129.0,129.0,124.91000366210938,127.93000030517578,127.93000030517578,857600
2022-09-30,128.3699951171875,130.1300048828125,126.48999786376953,127.38999938964844,127.38999938964844,1033700
2022-10-03,129.38999938964844,132.2899932861328,128.0,131.35000610351562,131.35000610351562,787100
2022-10-04,133.30999755859375,136.97000122070312,133.30999755859375,136.02999877929688,136.02999877929688,888600
2022-10-05,134.44000244140625,135.80999755859375,131.99000549316406,134.5500030517578,134.5500030517578,757500
2022-10-06,134.3699951171875,136.3800048828125,132.1300048828125,132.22000122070312,132.22000122070312,698700
2022-10-07,131.6699981689453,131.75,127.52999877929688,128.52999877929688,128.52999877929688,623000
2022-10-10,128.5800018310547,131.07000732421875,128.2899932861328,129.02999877929688,129.02999877929688,565300
2022-10-11,129.47000122070312,132.67999267578125,127.66999816894531,129.44000244140625,129.44000244140625,1064900
2022-10-12,129.8800048828125,129.8800048828125,126.29000091552734,126.36000061035156,126.36000061035156,775500
2022-10-13,124.16999816894531,130.6300048828125,123.5999984741211,130.2100067138672,130.2100067138672,843000
2022-10-14,130.75999450683594,131.52999877929688,123.25,123.41000366210938,123.41000366210938,816800
2022-10-17,126.4000015258789,130.30999755859375,125.91000366210938,129.69000244140625,129.69000244140625,902000
2022-10-18,133.16000366210938,135.99000549316406,131.67999267578125,133.4199981689453,133.4199981689453,871100
2022-10-19,132.22999572753906,133.16000366210938,130.50999450683594,132.57000732421875,132.57000732421875,601900
2022-10-20,132.86000061035156,134.07000732421875,130.3300018310547,130.74000549316406,130.74000549316406,706200
2022-10-21,131.02000427246094,134.0399932861328,130.60000610351562,133.41000366210938,133.41000366210938,775500
2022-10-24,134.3800048828125,137.77000427246094,133.9199981689453,137.41000366210938,137.41000366210938,958200
2022-10-25,137.72999572753906,142.75,137.30999755859375,142.35000610351562,142.35000610351562,1365400
2022-10-26,143.1999969482422,144.30999755859375,140.05999755859375,140.49000549316406,140.49000549316406,982200
2022-10-27,141.3800048828125,142.63999938964844,139.77000427246094,140.25999450683594,140.25999450683594,751500
2022-10-28,140.8800048828125,142.72000122070312,139.47000122070312,141.17999267578125,141.17999267578125,830600
2022-10-31,140.61000061035156,142.27999877929688,140.4600067138672,142.0399932861328,142.0399932861328,753900
2022-11-01,143.5800018310547,144.05999755859375,141.72000122070312,142.27000427246094,142.27000427246094,719900
2022-11-02,140.99000549316406,142.9600067138672,136.58999633789062,136.77999877929688,136.77999877929688,1229300
2022-11-03,144.55999755859375,146.6999969482422,136.9600067138672,144.41000366210938,144.41000366210938,2404500
2022-11-04,147.64999389648438,149.5,140.77999877929688,146.77000427246094,146.77000427246094,1635600
2022-11-07,147.72000122070312,149.02999877929688,145.22999572753906,147.25,147.25,1220500
2022-11-08,147.25,149.7899932861328,146.0,147.75999450683594,147.75999450683594,1001000
2022-11-09,145.9199981689453,147.89999389648438,142.61000061035156,143.0399932861328,143.0399932861328,823800
2022-11-10,147.8300018310547,148.99000549316406,143.92999267578125,147.05999755859375,147.05999755859375,1345000
2022-11-11,147.07000732421875,149.0,144.1699981689453,144.47000122070312,144.47000122070312,1065400
2022-11-14,144.0500030517578,144.8000030517578,142.1199951171875,142.19000244140625,142.19000244140625,907400
2022-11-15,144.02999877929688,145.42999267578125,141.92999267578125,144.0500030517578,144.0500030517578,779200
2022-11-16,143.6199951171875,147.0,142.85000610351562,146.72999572753906,146.72999572753906,826600
2022-11-17,145.02000427246094,148.86000061035156,144.4199981689453,148.75,148.75,884900
2022-11-18,150.0,150.39999389648438,146.83999633789062,148.66000366210938,148.66000366210938,749500
2022-11-21,147.8300018310547,149.63999938964844,147.52000427246094,148.94000244140625,148.94000244140625,621100
2022-11-22,150.0,151.77000427246094,147.72000122070312,147.7899932861328,147.7899932861328,923300
2022-11-23,147.50999450683594,149.88999938964844,145.27000427246094,146.1999969482422,146.1999969482422,682800
2022-11-25,146.92999267578125,149.19000244140625,146.47000122070312,148.52000427246094,148.52000427246094,271700
2022-11-28,148.5800018310547,150.5500030517578,142.72000122070312,143.55999755859375,143.55999755859375,880900
2022-11-29,144.02999877929688,145.1699981689453,143.10000610351562,144.5500030517578,144.5500030517578,579700
2022-11-30,144.39999389648438,150.1699981689453,144.1699981689453,149.8800048828125,149.8800048828125,1560700
2022-12-01,150.5,153.02000427246094,149.3000030517578,151.72999572753906,151.72999572753906,907000
2022-12-02,150.66000366210938,154.64999389648438,150.3800048828125,153.07000732421875,153.07000732421875,627000
2022-12-05,151.83999633789062,152.33999633789062,149.00999450683594,150.82000732421875,150.82000732421875,748200
2022-12-06,151.22999572753906,152.17999267578125,148.97000122070312,149.58999633789062,149.58999633789062,475800
2022-12-07,149.2899932861328,150.89999389648438,148.0800018310547,148.30999755859375,148.30999755859375,627900
2022-12-08,150.07000732421875,151.55999755859375,148.97999572753906,150.30999755859375,150.30999755859375,622300
