Date,Open,High,Low,Close,Adj Close,Volume
2022-09-19,221.35000610351562,224.61000061035156,219.2899932861328,224.25999450683594,224.25999450683594,432200
2022-09-20,223.02000427246094,223.02000427246094,218.24000549316406,220.1999969482422,220.1999969482422,331100
2022-09-21,222.11000061035156,224.14999389648438,217.35000610351562,217.58999633789062,217.58999633789062,382000
2022-09-22,216.24000549316406,216.80999755859375,213.5500030517578,213.69000244140625,213.69000244140625,255600
2022-09-23,212.1699981689453,214.72000122070312,210.52999877929688,214.50999450683594,214.50999450683594,287500
2022-09-26,213.66000366210938,216.8699951171875,213.3800048828125,215.10000610351562,215.10000610351562,300100
2022-09-27,217.14999389648438,217.5800018310547,211.52000427246094,212.32000732421875,212.32000732421875,319500
2022-09-28,214.08999633789062,219.3699951171875,212.6300048828125,218.75,218.75,454000
2022-09-29,217.25,220.3000030517578,215.8300018310547,218.4600067138672,218.4600067138672,445200
2022-09-30,219.25999450683594,223.1300048828125,217.7100067138672,218.3000030517578,218.3000030517578,521200
2022-10-03,220.19000244140625,226.6199951171875,218.02999877929688,224.25,224.25,460600
2022-10-04,225.97999572753906,229.52000427246094,222.50999450683594,228.72999572753906,228.72999572753906,516200
2022-10-05,231.14999389648438,235.0,227.77999877929688,231.75999450683594,231.75999450683594,597700
2022-10-06,231.3300018310547,232.13999938964844,228.80999755859375,229.85000610351562,229.85000610351562,452500
2022-10-07,227.83999633789062,227.8699951171875,221.14999389648438,222.41000366210938,222.41000366210938,330400
2022-10-10,223.19000244140625,223.19000244140625,217.97999572753906,219.17999267578125,219.17999267578125,234100
2022-10-11,217.63999938964844,217.74000549316406,213.50999450683594,215.0,215.0,553300
2022-10-12,213.55999755859375,213.55999755859375,209.82000732421875,210.1300048828125,210.1300048828125,546500
2022-10-13,206.35000610351562,216.2100067138672,206.3000030517578,214.77999877929688,214.77999877929688,537900
2022-10-14,216.6699981689453,217.69000244140625,210.8000030517578,211.75,211.75,415100
2022-10-17,214.0500030517578,215.75,212.75,215.0,215.0,560500
2022-10-18,221.36000061035156,222.97000122070312,214.97000122070312,218.89999389648438,218.89999389648438,610300
