Date,Open,High,Low,Close,Adj Close,Volume
2022-09-19,21.709999084472656,22.31999969482422,21.6299991607666,22.239999771118164,22.239999771118164,5279200
2022-09-20,22.079999923706055,22.350000381469727,21.979999542236328,22.190000534057617,22.190000534057617,6310200
2022-09-21,22.31999969482422,22.5,21.8700008392334,21.8700008392334,21.8700008392334,8155000
2022-09-22,22.020000457763672,22.059999465942383,21.270000457763672,21.309999465942383,21.309999465942383,6240600
2022-09-23,21.040000915527344,21.149999618530273,20.59000015258789,20.8799991607666,20.8799991607666,6831000
2022-09-26,20.709999084472656,21.049999237060547,20.479999542236328,20.690000534057617,20.690000534057617,8071300
2022-09-27,20.81999969482422,21.040000915527344,20.100000381469727,20.40999984741211,20.40999984741211,8328300
2022-09-28,20.579999923706055,21.059999465942383,20.209999084472656,20.459999084472656,20.459999084472656,19665700
2022-09-29,20.139999389648438,20.34000015258789,19.639999389648438,19.8700008392334,19.8700008392334,10098000
2022-09-30,20.020000457763672,20.540000915527344,19.920000076293945,20.06999969482422,20.06999969482422,10594500
2022-10-03,20.309999465942383,20.649999618530273,19.860000610351562,20.520000457763672,20.520000457763672,9218900
2022-10-04,20.850000381469727,21.420000076293945,20.850000381469727,21.399999618530273,21.399999618530273,7203400
2022-10-05,21.06999969482422,21.309999465942383,21.0,21.170000076293945,21.170000076293945,6821700
2022-10-06,21.030000686645508,21.170000076293945,20.790000915527344,20.809999465942383,20.809999465942383,6031100
2022-10-07,20.68000030517578,20.729999542236328,20.25,20.450000762939453,20.450000762939453,10460800
2022-10-10,20.549999237060547,20.68000030517578,20.110000610351562,20.260000228881836,20.260000228881836,7426000
2022-10-11,20.170000076293945,20.270000457763672,19.790000915527344,19.889999389648438,19.889999389648438,7644300
2022-10-12,19.829999923706055,19.989999771118164,19.59000015258789,19.600000381469727,19.600000381469727,8707800
2022-10-13,19.31999969482422,20.940000534057617,19.149999618530273,20.8799991607666,20.8799991607666,9981800
2022-10-14,21.0,21.510000228881836,20.649999618530273,20.68000030517578,20.68000030517578,9318000
2022-10-17,21.229999542236328,21.420000076293945,20.950000762939453,21.25,21.25,9467200
2022-10-18,21.719999313354492,22.010000228881836,21.280000686645508,21.65999984741211,21.65999984741211,11347900
2022-10-19,21.440000534057617,21.649999618530273,20.809999465942383,20.899999618530273,20.899999618530273,9927000
2022-10-20,20.850000381469727,21.100000381469727,19.610000610351562,19.739999771118164,19.739999771118164,16959600
2022-10-21,19.850000381469727,20.690000534057617,19.100000381469727,19.520000457763672,19.520000457763672,24905200
2022-10-24,19.690000534057617,20.700000762939453,19.579999923706055,20.549999237060547,20.549999237060547,16159100
2022-10-25,20.360000610351562,21.280000686645508,20.260000228881836,21.229999542236328,21.229999542236328,11146400
2022-10-26,21.309999465942383,21.520000457763672,21.18000030517578,21.290000915527344,21.290000915527344,8611600
2022-10-27,21.489999771118164,21.739999771118164,21.440000534057617,21.549999237060547,21.549999237060547,8884700
2022-10-28,21.709999084472656,21.889999389648438,21.549999237060547,21.850000381469727,21.850000381469727,6064100
2022-10-31,21.81999969482422,22.139999389648438,21.760000228881836,21.950000762939453,21.950000762939453,7019200
2022-11-01,22.1299991607666,22.329999923706055,22.0,22.299999237060547,22.299999237060547,6303300
2022-11-02,22.309999465942383,22.510000228881836,21.829999923706055,21.850000381469727,21.850000381469727,7641200
2022-11-03,21.649999618530273,22.190000534057617,21.280000686645508,21.989999771118164,21.989999771118164,7648600
